index,phase,period_ns,wake_ns,read_ns,command_ns,tracking_error,cmd_q1,cmd_v1,cmd_a1,obs_q1,cmd_q2,cmd_v2,cmd_a2,obs_q2,cmd_q3,cmd_v3,cmd_a3,obs_q3,cmd_q4,cmd_v4,cmd_a4,obs_q4,cmd_q5,cmd_v5,cmd_a5,obs_q5,cmd_q6,cmd_v6,cmd_a6,obs_q6
69,outward,7994622,56146,9843,25268,0.000262541,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474661,0.00243702,0.00819559,0.474904
70,outward,8000057,56203,9630,24138,0.000243308,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474681,0.00250257,0.00819295,0.474904
71,outward,8000074,56277,9732,23268,0.000223549,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474701,0.00256809,0.00818376,0.474904
72,outward,8009020,65297,9953,24630,0.000203266,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474722,0.0026335,0.00816803,0.474904
73,outward,7990511,55808,10620,24704,0.00018246,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474743,0.00269876,0.00814577,0.474904
74,outward,8000492,56300,9601,24194,0.000161131,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474765,0.00276381,0.008117,0.474904
75,outward,7999648,55948,9722,25120,0.000156734,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474787,0.00282861,0.00808175,0.474922
76,outward,8003502,59450,10389,24399,0.000134364,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.47481,0.0028931,0.00804004,0.474922
77,outward,7996815,56265,9695,24046,0.00012893,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474833,0.00295724,0.00799193,0.474939
78,outward,7999658,55923,8879,24555,0.000105529,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474857,0.00302096,0.00793744,0.474939
