index,start_period_ns,edg_read_ns,command_ns,wait_ns,wake_lateness_ns,cycle_work_ns
114,7998855,0,24787,7975179,55650,24954
115,8000281,0,26963,7971966,55931,27121
116,7999226,0,24454,7976003,55157,24630
117,8000772,0,28555,7970586,55929,28713
118,7999447,0,22555,7977401,55376,22723
119,8000273,0,29287,7970865,55649,29444
120,8000457,0,23491,7997078,56106,23648
121,8020874,0,25444,7953606,76980,25619
122,7979373,0,26296,7972976,56353,26491
123,7999615,0,24703,7973809,55968,24898
124,7998855,0,28167,7975346,54823,28343
125,8003865,0,40184,7960291,58688,40406
126,8000882,0,40250,7958893,59570,40491
127,7999578,0,36250,7963458,59148,36518
128,8000226,0,45769,7954716,59374,46120
129,8001113,0,45111,7952059,60487,45463
130,7997763,0,44638,7954318,58250,44945
131,7999485,0,45343,7954912,57735,45639
132,8000773,0,43278,7964956,58508,43583
133,8008762,0,47472,7943022,67270,47787
134,7991031,0,43010,7960124,58301,43324
135,8003670,0,43694,7952078,61971,44010
136,7996300,0,43695,7957317,58271,44000
137,8001558,0,45351,7952448,59829,45621
138,7998291,0,45769,7955226,58120,46037
139,8001485,0,45648,7952457,59605,45982
140,7998652,0,42482,7958688,58257,42731
141,8001651,0,43871,7953902,59908,44176
142,7998300,0,47129,7952965,58208,47426
143,8000613,0,45157,7951985,58821,45463
144,7997634,0,22981,7974578,56455,23166
145,7997892,0,24046,7976920,54347,24204
146,8001272,0,25102,7975549,55619,25297
147,8000994,0,25463,7973022,56613,25648
148,7998809,0,25352,7975300,55422,25509
149,8000948,0,23333,7976939,56370,23509
150,8000596,0,28870,7969456,56966,29028
151,7998623,0,21778,7977485,55589,21945
152,7999578,0,26500,7973032,55167,26667
153,7999837,0,24537,7977958,55004,24722
154,8002818,0,22796,7975235,57822,22990
155,7998364,0,24010,7974957,56186,24195
156,7999291,0,24194,7975550,55477,24379
157,8000078,0,21972,7978689,55555,22157
158,8000994,0,23897,7973643,56549,24082
159,7997864,0,26102,7976226,54413,26268
160,8002633,0,63917,7934717,57046,64083
161,7998939,0,23260,7976456,55985,23426
162,8000030,0,24565,7975689,56015,24732
163,8000615,0,24130,7974550,56630,24287
164,7998976,0,24296,7975097,55606,24481
165,7999716,0,23083,7976271,55322,23269
166,7999688,0,24889,7975355,55010,25056
167,8000559,0,22916,7976754,55569,23102
168,7999986,0,23333,7975476,55555,23490
169,7999105,0,31194,7970641,54660,31370
170,8002179,0,22916,7975494,56839,23092
171,7998725,0,22138,7978225,55564,22297
172,8000670,0,27824,7972077,56234,28019
173,8000263,0,27898,7978586,56497,28092
174,8006835,0,32445,7962281,63332,32639
175,7995087,0,32121,7965771,58419,32324
176,7998271,0,31435,7971550,56690,31639
177,8003364,0,32954,7964726,60054,33158
178,7998078,0,44787,7955550,58132,45046
